排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'1', 'GeForce RTX 4090', '桌面', '100.00', 'Ada Lovelace', '2022', '1756 USD', '450 W'
'2', 'GeForce RTX 4080', '桌面', '89.44', 'Ada Lovelace', '2022', '1451 USD', '320 W'
'3', 'GeForce RTX 4070 Ti', '桌面', '81.31', 'Ada Lovelace', '2023', '837 USD', '285 W'
'4', 'GeForce RTX 3090 Ti', '桌面', '76.68', 'Ampere', '2022', '1251 USD', '450 W'
'5', 'GeForce RTX 3080 Ti', '桌面', '70.27', 'Ampere', '2020', '1135 USD', '350 W'
'6', 'GeForce RTX 3090', '桌面', '69.16', 'Ampere', '2020', '1198 USD', '350 W'
'7', 'GeForce RTX 4070', '桌面', '68.99', 'Ada Lovelace', '2023', '791 USD', '200 W'
'8', 'GeForce RTX 3080 12 GB', '桌面', '68.75', 'Ampere', '2022', '1053 USD', '350 W'
'9', 'GeForce RTX 3080', '桌面', '65.20', 'Ampere', '2020', '823 USD', '320 W'
'10', 'GeForce RTX 3070 Ti', '桌面', '61.08', 'Ampere', '2021', '757 USD', '290 W'
'11', 'RTX A5000', '用于工作站', '59.37', 'Ampere', '2021', '3327 USD', '230 W'
'12', 'GeForce RTX 3070', '桌面', '57.77', 'Ampere', '2020', '662 USD', '220 W'
'13', 'GeForce RTX 4060 Ti', '桌面', '57.76', 'Ada Lovelace', '2023', '461 USD', '160 W'
'14', 'GeForce RTX 2080 Ti', '桌面', '56.18', 'Turing', '2018', '297 USD', '270 W'
'15', 'RTX A4500', '用于工作站', '55.99', 'Ampere', '2021', '2591 USD', '200 W'
'16', 'GeForce RTX 4090 Mobile', '用于笔记本电脑', '53.65', 'Ada Lovelace', '2023', '−', '150 W'
'17', 'RTX A5500', '桌面', '53.45', 'Ampere', '2022', '3965 USD', '230 W'
'18', 'Quadro GV100', '用于工作站', '52.94', 'Volta', '2018', '5183 USD', '250 W'
'19', 'GeForce RTX 3060 Ti', '桌面', '52.93', 'Ampere', '2020', '361 USD', '220 W'
'20', 'GeForce RTX 4080 Mobile', '用于笔记本电脑', '52.00', 'Ada Lovelace', '2023', '−', '150 W'
'21', 'GeForce RTX 4060 Ti 8G', '桌面', '51.35', 'Ada Lovelace', '2023', '424 USD', '160 W'
'22', 'GeForce RTX 2080 Super', '桌面', '50.37', 'Turing', '2019', '599 USD', '250 W'
'23', 'GeForce RTX 4060', '桌面', '50.07', 'Ada Lovelace', '2023', '340 USD', '115 W'
'24', 'TITAN Xp', '桌面', '49.92', 'Pascal', '2017', '174 USD', '250 W'
'25', 'Quadro RTX 8000', '用于工作站', '49.87', 'Turing', '2018', '3230 USD', '260 W'
'26', 'RTX A4000', '用于工作站', '49.59', 'Ampere', '2021', '1112 USD', '140 W'
'27', 'Quadro RTX 6000', '用于工作站', '49.43', 'Turing', '2018', '3083 USD', '260 W'
'28', 'GeForce RTX 4060 Ti 16G', '桌面', '49.03', 'Ada Lovelace', '−', '−', '−'
'29', 'TITAN RTX', '桌面', '48.47', 'Turing', '2018', '1035 USD', '280 W'
'30', 'GeForce RTX 2080', '桌面', '48.33', 'Turing', '2018', '426 USD', '215 W'
'31', 'A10G', '桌面', '48.12', 'Ampere', '2021', '216 USD', '150 W'
'32', 'GeForce GTX 1080 Ti', '桌面', '47.64', 'Pascal', '2017', '321 USD', '250 W'
'33', 'GeForce RTX 2070 Super', '桌面', '46.94', 'Turing', '2019', '261 USD', '215 W'
'34', 'GeForce RTX 3080 Ti Mobile', '用于笔记本电脑', '46.51', 'Ampere', '2022', '−', '150 W'
'35', 'GeForce RTX 4070 Mobile', '用于笔记本电脑', '46.02', 'Ada Lovelace', '2023', '−', '115 W'
'36', 'TITAN V', '桌面', '44.02', 'Volta', '2017', '228 USD', '250 W'
'37', 'GeForce RTX 3060', '桌面', '44.00', 'Ampere', '2021', '317 USD', '170 W'
'38', 'TITAN V CEO Edition', '桌面', '43.66', 'Volta', '2018', '1630 USD', '250 W'
'39', 'GeForce RTX 2060 Super', '桌面', '42.63', 'Turing', '2019', '374 USD', '175 W'
'40', 'Quadro RTX A6000', '用于工作站', '42.42', 'Ampere', '2020', '8932 USD', '300 W'
'41', 'GeForce RTX 3070 Ti Mobile', '用于笔记本电脑', '42.31', 'Ampere', '2022', '−', '125 W'
'42', 'GeForce RTX 3080 Mobile', '用于笔记本电脑', '42.27', 'Ampere', '2021', '−', '150 W'
'43', 'GeForce RTX 2070', '桌面', '41.56', 'Turing', '2018', '309 USD', '175 W'
'44', 'GeForce RTX 4060 Mobile', '用于笔记本电脑', '41.51', 'Ada Lovelace', '2023', '−', '115 W'
'45', 'Quadro RTX 5000', '用于工作站', '41.35', 'Turing', '2018', '1540 USD', '230 W'
'46', 'GeForce RTX 2060 12 GB', '桌面', '40.77', 'Turing', '2021', '530 USD', '184 W'
'47', 'RTX A5500 Mobile', '用于笔记本电脑', '40.60', 'Ampere', '2022', '−', '165 W'
'48', 'GeForce GTX 1070 SLI （移动）', '用于笔记本电脑', '40.31', 'Pascal', '2016', '274 USD', '−'
'49', 'Quadro GP100', '用于工作站', '40.11', 'Pascal', '2016', '1482 USD', '235 W'
'50', 'RTX A5000 Mobile', '用于笔记本电脑', '40.08', 'Ampere', '2021', '−', '165 W'
'51', 'Quadro P6000', '用于工作站', '39.88', 'Pascal', '2016', '989 USD', '250 W'
'52', 'GeForce GTX 1080', '桌面', '39.79', 'Pascal', '2016', '241 USD', '180 W'
'53', 'Quadro RTX 4000', '用于工作站', '39.67', 'Turing', '2018', '974 USD', '160 W'
'54', 'GeForce RTX 4050 Mobile', '用于笔记本电脑', '38.84', 'Ada Lovelace', '2023', '−', '115 W'
'55', 'GeForce RTX 2080 （移动）', '用于笔记本电脑', '38.83', 'Turing', '2019', '2003 USD', '150 W'
'56', 'GeForce RTX 2080 Super Mobile', '用于笔记本电脑', '38.73', 'Turing', '2020', '1671 USD', '150 W'
'57', 'GeForce GTX 1070 SLI', '桌面', '38.28', 'Pascal', '2016', '185 USD', '300 W'
'58', 'Quadro RTX 5000 （移动）', '用于移动工作站', '38.12', 'Turing', '2019', '3065 USD', '110 W'
'59', 'GeForce GTX 980 SLI （移动）', '用于笔记本电脑', '38.02', 'Maxwell', '2015', '301 USD', '330 W'
'60', 'GeForce GTX 1070 Ti', '桌面', '37.83', 'Pascal', '2017', '231 USD', '180 W'
'61', 'GeForce GTX 1080 SLI （移动）', '用于笔记本电脑', '37.52', 'Pascal', '2016', '352 USD', '−'
'62', 'GeForce RTX 3070 Mobile', '用于笔记本电脑', '36.92', 'Ampere', '2021', '−', '125 W'
'63', 'GeForce RTX 2070 Super Mobile', '用于笔记本电脑', '36.84', 'Turing', '2020', '1443 USD', '115 W'
'64', 'GeForce RTX 2060', '桌面', '36.28', 'Turing', '2019', '397 USD', '175 W'
'65', 'GeForce RTX 2070 Super Max-Q', '用于笔记本电脑', '35.75', 'Turing', '2020', '812 USD', '80 W'
'66', 'GeForce RTX 2080 Max-Q', '用于笔记本电脑', '35.71', 'Turing', '2019', '1268 USD', '80 W'
'67', 'GeForce GTX 1080 （移动）', '用于笔记本电脑', '35.66', 'Pascal', '2016', '230 USD', '150 W'
'68', 'GeForce GTX 980 Ti', '桌面', '35.56', 'Maxwell', '2015', '1195 USD', '250 W'
